rep,est_E,se_E,IRR_E,IRR_E_CI_Lower,IRR_E_CI_Upper,est_C,IRR_C,IRR_C_CI_Lower,IRR_C_CI_Upper,n_event
1,1.65218182586348,0.102253684578375,5.21835295301579,4.27065959327215,6.37634701326878,1.03452209722731,2.81376120996997,2.31061169844025,3.42647453575871,1446
2,1.60307675623943,0.105002894981642,4.96829516563786,4.04416403866226,6.10359931420229,1.14482132534122,3.14187993235965,2.57973871622273,3.82651523865099,1442
3,1.37024082948924,0.114178776351141,3.93629855810051,3.14701548944587,4.9235367256589,1.07747106946349,2.93724206942967,2.4132373876443,3.57502789348428,1448
4,1.5884544658139,0.102909548788854,4.89617587043523,4.00184480689365,5.99037176877441,0.962971281662762,2.6194680993905,2.14641909037598,3.19677231463804,1483
5,1.57318448929459,0.10591515645876,4.82197931142509,3.91805202235886,5.9344501673597,1.0293709887139,2.7993044866879,2.28045446381323,3.43620349958139,1420
6,1.67563123367131,0.102890840782362,5.3421662401967,4.3665310831596,6.53579227867234,1.11401216442219,3.046557194662,2.5082085323918,3.70045417694839,1405
7,1.54403301154994,0.10321652275824,4.68344060368116,3.82566513756295,5.73354308322506,1.13626668091757,3.11511690402605,2.58610817112079,3.75233852710161,1548
8,1.55238688355368,0.103746378407106,4.72272934509263,3.85375392362458,5.78764833173916,1.07928525710755,2.94257561426237,2.42750564230777,3.56693352004731,1512
9,1.53899267609384,0.107429346116813,4.65989388348455,3.77513078382301,5.75201555887468,1.00234363895264,2.72465997074844,2.23225780462173,3.32567857566831,1430
10,1.55194684728073,0.108062531678581,4.72065163004197,3.81960944213383,5.8342488020892,1.19727078547176,3.31106796528547,2.74078466473387,4.00001182573903,1428
11,1.62816720076072,0.103601620600198,5.09452890794864,4.15832253280372,6.24151315564859,1.04116452161942,2.83251361784127,2.3126620223454,3.46922002339086,1457
12,1.77727191147352,0.0983496856453817,5.91370129165965,4.87690145140706,7.17091852591917,1.0437083782786,2.83972829913711,2.33306190808054,3.45642641757184,1424
13,1.32348288612866,0.118330165436988,3.75648201881044,2.97891763136084,4.73700817004458,1.05633208273267,2.87580341162444,2.35727574252081,3.50839111145597,1407
14,1.30171908878789,0.118211653509545,3.67560993936253,2.91546260509271,4.63395016720202,1.03405257652754,2.81244040093555,2.2947229752435,3.44696117751432,1442
15,1.50558784646234,0.106153811078833,4.50680215945386,3.66024542042508,5.5491540515606,0.957835918428742,2.6060506604186,2.13183244417854,3.18575695909591,1493
16,1.71587301153394,0.0980463864316531,5.56152867229816,4.5891995794951,6.73986838815965,1.00066681693505,2.72009502928582,2.23113994141032,3.31620479335263,1470
17,1.47444934074206,0.108277346124489,4.368629484198,3.53329068465529,5.40145866092702,0.976672969247678,2.65560624434485,2.17587711865037,3.24110422622471,1473
18,1.59566883158578,0.103923123285434,4.93162639682221,4.02282041655521,6.04574313527522,0.935446760614075,2.54835170663102,2.06862253133642,3.13933369781763,1426
19,1.46553609384311,0.108204696770991,4.32986383155947,3.50243620599297,5.35276581705268,0.772169505656205,2.16445696531134,1.7387017833785,2.69446664141651,1463
20,1.45154090458619,0.110584414333797,4.269688631619,3.4376889722959,5.30305131089311,1.03995196313189,2.8290811108912,2.31608471543589,3.45570258231901,1460
21,1.6950288011813,0.0992257148637464,5.44680283730974,4.48415455940963,6.61611029581269,1.0420423830898,2.83500126415536,2.32953339322827,3.45014679382832,1476
22,1.56799647379792,0.102797718837815,4.79702758895989,3.92166632811593,5.86777960283471,0.997012482334965,2.71017303209526,2.22681753539655,3.29844621175413,1547
23,1.68606326292061,0.102418372073842,5.39818757471618,4.41640908771429,6.59821780841906,1.06050138405687,2.88781853252143,2.3724481204155,3.51514362105997,1416
24,1.4843670142252,0.109541051784219,4.41217168676377,3.55967944723921,5.46882360673744,1.14656563424865,3.14736512405533,2.60479164967796,3.80295568950573,1440
25,1.53698199796596,0.106326346312883,4.65053375003601,3.7757014823798,5.72806517177103,1.02519626285542,2.78764251756101,2.30548779342244,3.37063194517205,1470
26,1.39674761293633,0.113586990053721,4.04203231169487,3.2352985245816,5.04992818580729,0.950200686132236,2.58622862745957,2.10288586598856,3.18066644589252,1435
27,1.62825151326142,0.10460504046429,5.09495845852876,4.15050245891093,6.2543275063967,0.908752861457758,2.48122617020033,2.01674587081924,3.05268174675182,1414
28,1.6886095153756,0.0979204871491271,5.41195023725171,4.46687423269184,6.55698008153646,1.0729175625874,2.92389772231523,2.4055078708128,3.55400121292119,1488
29,1.60084104042054,0.102948762351655,4.95719987712073,4.05141083167853,6.06549956118488,0.908904777514696,2.48160313692941,2.02409138988201,3.04252770403656,1461
30,1.57940981731996,0.105974164129811,4.85209134576739,3.94206332323268,5.97219996160908,1.08607839872543,2.96263299631788,2.42282124508149,3.62271640497202,1446
31,1.34052654351572,0.114718845555924,3.82105492746449,3.05164789415195,4.78445130799014,1.11166789122965,3.03942359711872,2.51586222744466,3.671940260459,1494
32,1.56511978786518,0.106441385495509,4.7832478766307,3.88257466037262,5.89285776853451,1.00172980938554,2.72298800710094,2.23355741170524,3.31966559174082,1448
33,1.61366067534518,0.1050906093951,5.02115845668751,4.08649185906005,6.16960295449203,1.11721817617005,3.05634016660057,2.51357170233767,3.71631141665404,1387
34,1.63847782336962,0.105182242102984,5.14732840296816,4.1884235288363,6.32576660540442,1.03950507041063,2.82781709759508,2.29294565243693,3.48745707468138,1395
35,1.45863671942234,0.111246238540443,4.30009329692024,3.45768088007762,5.34774694471032,1.04920612512992,2.855383400914,2.34114824174153,3.48257074065083,1416
36,1.62061132770179,0.102092438006493,5.05618035507087,4.13924674700441,6.1762347947742,1.03470688867423,2.8142812170202,2.30658750517792,3.43372135273134,1473
37,1.72175779102398,0.100705082506215,5.59435353096092,4.59229296624548,6.81506856365965,0.956308099858872,2.60207212783747,2.11008601585657,3.20876936181204,1440
38,1.54049555673747,0.103171582787593,4.66690241297589,3.81249172044949,5.71279355583029,0.912060692580558,2.48944723680275,2.03980093963283,3.03821192765034,1518
39,1.78608791321689,0.095625568525958,5.96606698139979,4.94642573936485,7.19589398528385,1.21420399570954,3.36761236325068,2.79264548331435,4.06095693022209,1463
40,1.65144193388435,0.101739578442512,5.2144933635373,4.27180316221041,6.36521394031293,0.92603920904519,2.5244903708896,2.05998714846033,3.09373368541529,1457
41,1.56611306228041,0.105894780356536,4.78800131471166,3.89059890771126,5.89239783732083,1.05935759098825,2.88451735399294,2.36397366862122,3.51968402860398,1435
42,1.42330511959006,0.115772678376383,4.1508167395505,3.30816891878866,5.20810152936247,0.999406548518963,2.71666913865598,2.21726196605036,3.32856077537488,1407
43,1.68949310389187,0.101540141407446,5.41673428758668,4.43921732942151,6.60950076669048,1.09569151145798,2.99125045232947,2.4562253656493,3.64281689852022,1382
44,1.46265775449589,0.110637422010083,4.31741893303749,3.47575733017765,5.36289057970508,1.1072564093051,3.02604476679035,2.50398693653875,3.65694676637447,1430
45,1.60828383016384,0.105019886442377,4.99423291713283,4.06514183876555,6.13566842679891,1.05576102274025,2.87416162417417,2.3633704256988,3.49534924870398,1444
46,1.57579124023548,0.105430352821355,4.8345654078144,3.93201314683446,5.9442890472664,1.02452085033166,2.78576034458601,2.29012795236503,3.3886581269198,1450
47,1.78495377440295,0.0967626731424645,5.95930446880849,4.92981972276683,7.20377452910777,1.02453819740251,2.78580866978725,2.27819377069315,3.40652759413901,1437
48,1.62489536696102,0.10260563618353,5.07788769456149,4.15283824704718,6.20899295967355,1.0327704849928,2.8088369054047,2.29872645875408,3.43214597418419,1444
49,1.73087092668116,0.100350890833367,5.64556864429299,4.63755271428766,6.87268636736562,1.15444746395647,3.17227013960565,2.60793821559864,3.85871788619949,1384
50,1.62165564522557,0.102140089591262,5.06146337091191,4.14318472040978,6.18326557560513,1.27405596147999,3.57532457230211,2.97228446962927,4.30071412340344,1483
51,1.70239883714931,0.0976167111020743,5.48709426238033,4.53159329814376,6.64406566595022,1.23239443529895,3.42943126439223,2.85439997813169,4.12030510345258,1540
52,1.60064960991062,0.105015876707523,4.95625100864454,4.0342575154906,6.08895787300846,1.28050497839165,3.5984564095677,2.99503230356897,4.3234553818096,1471
53,1.68870495436562,0.0975020439793178,5.41246677296479,4.47096585284674,6.55222999517998,0.980205339563842,2.66500341638837,2.18760909012967,3.24657784674899,1526
54,1.6701575064131,0.100903955401394,5.31300456357301,4.35963957617379,6.4748511888044,0.985970415062271,2.68041173467052,2.18718601107344,3.28486330425702,1453
55,1.73679403031272,0.098577941332216,5.67910716043259,4.68134197505175,6.88953259803674,0.989098079784961,2.68880828785213,2.19790254013598,3.28935877583318,1447
56,1.4834258550273,0.107202784644392,4.40802108429324,3.57266657976989,5.43869668375974,1.06044351104475,2.88765141060046,2.37321521500622,3.51360071198641,1487
57,1.73893937836794,0.0981540530751437,5.69130390038278,4.69529512168723,6.89859513556471,0.911397582211958,2.48779700573108,2.02107061424763,3.06230465085878,1435
58,1.76813287160568,0.0954745445541446,5.8599019513985,4.85984334006919,7.06575263381123,0.95321132793572,2.59402656799162,2.10765285087079,3.1926385944755,1472
59,1.4969819636046,0.101547422447199,4.4681835599232,3.66179210183126,5.45215669540158,0.960220464289491,2.61227232270527,2.15007009718235,3.17383451679772,1586
60,1.67933266430138,0.100075466752741,5.36197653855392,4.40697429787859,6.52393012907804,1.27245232474862,3.56959564527802,2.96667340616854,4.29505082841058,1472
61,1.45471253769862,0.110618242916238,4.28325201513114,3.44838072417396,5.32025008042572,1.29843550294366,3.6635605520219,3.05022014717698,4.40023187531331,1487
62,1.63032651596305,0.10166200725348,5.1055414872042,4.18318384977689,6.23127139844775,1.08578472623338,2.96176308024428,2.45500621172555,3.57312356343591,1507
63,1.63496525616406,0.103645963550377,5.12927978307599,4.1863234916708,6.28463403399618,0.923727944102067,2.51866234244944,2.05093419629049,3.09305876646195,1381
64,1.56132882688149,0.107541989994415,4.76514909811203,3.85954924081432,5.8832377851583,0.945103667299776,2.57308010902948,2.09832400243453,3.15525211540335,1401
65,1.53447172099817,0.106828347467429,4.63887426266937,3.76253151994559,5.71932867825315,0.88969050053041,2.43437609657283,1.97502749530095,3.00055922951195,1478
66,1.59774631217804,0.105492346553855,4.94188240458976,4.01880707985323,6.07697787316672,1.14112523065235,3.13028868100567,2.57508098459995,3.80520351982424,1455
67,1.20735667853214,0.122711282227257,3.34463201990631,2.62964007935939,4.25402831223493,1.11691655212298,3.05541843992474,2.52345515987152,3.69952357049509,1487
68,1.67095188519705,0.10331235427219,5.31722677847429,4.34255720209868,6.51065703868224,1.03169721320428,2.8058238771839,2.30827082293234,3.41062563004378,1438
69,1.63995524422938,0.102692258745579,5.15493879381349,4.21513709149277,6.30427751011828,1.11997088798088,3.06476498049756,2.52500629170931,3.71990533905787,1436
70,1.5244060946234,0.105185053182948,4.59241529908201,3.73686557568736,5.64384183805251,1.06034678627914,2.88737211670214,2.36949128124932,3.51844204124412,1475
71,1.58867208717465,0.102890371579555,4.89724149883819,4.00286624003775,5.99145034077299,0.820791460740561,2.27229756033493,1.83331569582899,2.8163922964557,1468
