rep,est_E,se_E,IRR_E,IRR_E_CI_Lower,IRR_E_CI_Upper,est_C,IRR_C,IRR_C_CI_Lower,IRR_C_CI_Upper,n_event
1,1.57652351472796,0.0506273917592243,4.83810693327086,4.38108166880872,5.34280811618112,1.17035041854155,3.2231218823322,2.99966057681405,3.46323005631602,6513
2,1.65110274416685,0.050408020575856,5.21272496093537,4.72234188821209,5.75403097903323,1.28968825394462,3.63165422538294,3.38267072037448,3.89896431044924,6354
3,1.61364922453554,0.0498694107543156,5.02110096068701,4.55354921222222,5.53666023631451,1.23975158610092,3.45475514896138,3.21940023208291,3.70731573550056,6553
4,1.55194202142277,0.0516668874231443,4.72062884890273,4.26600069463696,5.22370677461625,1.20776465010626,3.34599681307581,3.11244107193604,3.59707843919094,6446
5,1.62839471209951,0.0496108238247191,5.09568810290099,4.62353370601183,5.6160588184496,1.17359241312934,3.2335881827079,3.00691016673366,3.47735447870276,6460
6,1.54538149163927,0.052013425162602,4.68976039018027,4.23522752515105,5.19307460737175,1.16776500473732,3.21479954150813,2.98917720472823,3.45745179500675,6500
7,1.55296288033496,0.0515482665689924,4.72545040558009,4.27135084517618,5.22782659280147,1.23541313324843,3.43979932266277,3.20431979172931,3.69258380849859,6507
8,1.48802971912502,0.053352199525886,4.42836180132593,3.98868391074124,4.91650596594863,1.18757154876248,3.27910837569193,3.05233254277897,3.52273272614766,6504
9,1.60138346086023,0.0502278586099155,4.95988949304306,4.4948786323262,5.47300734802435,1.21502362239017,3.37037367966333,3.13866807063536,3.61918447090452,6565
10,1.57018931372253,0.051833766933088,4.80755824437744,4.3431374311889,5.32164055116133,1.21876019826732,3.38299089456203,3.1516086141685,3.63136061414436,6464
11,1.50666507774357,0.0535556571074649,4.51165964356555,4.06209121520979,5.0109836685011,1.25742332246324,3.51634930607353,3.27627392591851,3.77401667928525,6394
12,1.56734415603248,0.0515811786678644,4.79389942303231,4.33294263495026,5.30389474644253,1.17061095078654,3.2239617189096,2.99930754343613,3.4654429445694,6415
13,1.60300040931065,0.0505630793541532,4.96791586604005,4.49919546316611,5.48546695828256,1.16393137728094,3.20249879103146,2.97660003475899,3.44554135147297,6436
14,1.53293825831602,0.0518052523959254,4.63176617348799,4.18456112309981,5.12676413481936,1.23884155982422,3.4516126610864,3.21976308745242,3.7001573216986,6649
15,1.53047877879923,0.0521799564089983,4.62038843684822,4.17121743283946,5.11792771560905,1.21984142834912,3.3866506642537,3.15276245228668,3.63788991250239,6457
16,1.56862397109058,0.0513410786258004,4.80003865540397,4.3405336702869,5.3081885416752,1.18587397195647,3.2735465595097,3.04590673987881,3.51819933846831,6413
17,1.51809692815657,0.052550813786556,4.56353219643563,4.11689494780556,5.05862461197982,1.24176026742522,3.46170162540225,3.22493186836127,3.71585466994745,6510
18,1.55128779351408,0.0520482255108948,4.71754149179089,4.26002549946599,5.22419354756406,1.19766676459985,3.31237933871253,3.08322854461653,3.55856100991508,6431
19,1.48188899786229,0.0533547615583274,4.40125178855907,3.96424565802559,4.88643211781739,1.20857533131245,3.34871044960659,3.1175739485921,3.59698337881241,6475
20,1.58441132936767,0.0512481784827169,4.87641992822376,4.41040598480627,5.39167400876414,1.24279157534147,3.46527354725126,3.22795794285558,3.72003631083757,6480
21,1.58940247444993,0.0508930778634053,4.90081968828586,4.43555999407726,5.4148819200194,1.22613690441823,3.40803849511495,3.17358800179029,3.65980914272214,6506
22,1.54876623939621,0.0516655972827773,4.70566094063735,4.2524850490627,5.207130567836,1.21675451725214,3.37621249387738,3.14739925805643,3.62166025636439,6540
23,1.5158221615469,0.0527416825296929,4.553163023968,4.10600428957296,5.04901896363716,1.19968399601752,3.31906791832017,3.09020530156608,3.56488024949,6492
24,1.60966955000518,0.0505228191876396,5.00115832200566,4.5296589242487,5.52173684156915,1.20865891741565,3.34899036696226,3.11669268454,3.59860198396859,6427
25,1.52441623943712,0.051922779567833,4.59246188851604,4.1480961150009,5.0844304502013,1.18795393821308,3.28036251191114,3.05401282776785,3.52348821580325,6544
26,1.53625225446076,0.0525973118195637,4.64714129119919,4.19193909316437,5.15177384508857,1.25594849307746,3.51116711315078,3.2691189580472,3.77113670523505,6390
27,1.53298188988554,0.0518687859690944,4.63196826912465,4.18422263949916,5.12762629876351,1.18385722085458,3.26695128362909,3.04052835617265,3.51023553782629,6546
28,1.59044126359432,0.0506599908400496,4.9059132516878,4.44219891996103,5.4180340112498,1.20110518140662,3.32378828261301,3.09625245322663,3.5680451495881,6562
29,1.49088371812844,0.0534337823658652,4.44101839385392,3.9994443106572,4.93134616776499,1.18963650848041,3.28588659836832,3.05642494904833,3.53257512202234,6398
30,1.56840054017771,0.0514559845418786,4.7989662981887,4.33858675973995,5.3081979931482,1.19131476811546,3.2914057992423,3.06277291546507,3.53710589530952,6452
31,1.58487624284791,0.0508902913961968,4.87868756867115,4.41555310386829,5.3903988544164,1.21752513499916,3.37881526588523,3.14663008168309,3.62813305174806,6534
32,1.49749083135233,0.0529030637796196,4.47045785303592,4.03014651619019,4.95887515143317,1.22556195038091,3.4060795928162,3.17132552723211,3.65821108333981,6478
33,1.58337290973379,0.0511817421923502,4.87135878627663,4.40640224205872,5.38537680426278,1.27205522148666,3.5681784286127,3.3242675730218,3.82998570925611,6482
34,1.68939595559412,0.0494793747296296,5.41620808663145,4.91562134219621,5.96777253485221,1.19841760359886,3.31486733622545,3.08310496528942,3.56405168830926,6371
35,1.5857005840822,0.0502337792384031,4.88271093008679,4.4248845422279,5.38790691582324,1.20308668161169,3.33038089925516,3.10324051344864,3.57414673018615,6712
36,1.5499213235556,0.0517125575991322,4.71109951545048,4.2570080298455,5.21362855998259,1.20468372081106,3.33570389748714,3.10435117251938,3.58429825536803,6503
37,1.56073755803096,0.0519967969080066,4.76233244666339,4.30090604558757,5.27326337570447,1.17490254947352,3.23782740047844,3.00895474048146,3.48410899447811,6323
38,1.53367041418884,0.0527927761640165,4.63515859003074,4.17952863847684,5.1404588921696,1.25101380652097,3.49388328421248,3.25345907682108,3.75207436622406,6370
39,1.53991856069918,0.0526567895817053,4.66421040548604,4.20684579511142,5.17129929790261,1.1779873089768,3.24783074033847,3.02181997617644,3.49074551133075,6412
40,1.63309774170181,0.0501477015655152,5.11970971779919,4.64044400654562,5.64847405928283,1.30087055640011,3.67249238814278,3.42508940474249,3.93776592292506,6563
41,1.62116615610855,0.050681453890274,5.05898644593904,4.58061070893727,5.58732131727753,1.23543579807554,3.43987728600322,3.20106766018263,3.6965028543276,6345
42,1.57229131784473,0.051441954367145,4.81767437997943,4.35561988989718,5.32874470642985,1.12434124974767,3.07818842347781,2.85858225547446,3.31466549625669,6378
43,1.60042584681042,0.0512145821320629,4.9551421066238,4.48190020924456,5.47835341050013,1.20392138387782,3.3331619362463,3.10060493566763,3.58316158419227,6413
44,1.59837213947665,0.0504988445603553,4.94497613747532,4.47898394573543,5.45945002180295,1.18184219642069,3.26037492495513,3.03557612447135,3.50182114214889,6547
45,1.55615859669738,0.0514318819450929,4.74057576005996,4.28600027163168,5.24336376868978,1.21968246658534,3.38611235907691,3.1505466580055,3.63929125733119,6479
46,1.54239855939097,0.0519536020920272,4.67579199641913,4.22310808683706,5.17700005404119,1.19798572816243,3.31343603554196,3.08515679576358,3.55860628435604,6502
47,1.4499290700755,0.0540568403420356,4.26281214350187,3.83427209047513,4.73924826981572,1.24051936162865,3.45740864393297,3.21896614450921,3.71351359240996,6485
48,1.5678782607323,0.0515216164775879,4.79646055113902,4.33576362451912,5.30610886823528,1.21812546049669,3.38084426380945,3.14853210646419,3.63029740515153,6440
49,1.50219208032163,0.0528382233967099,4.49152406837139,4.04965246148348,4.98160981680126,1.17630883453761,3.24238391191792,3.01509985980844,3.48680107495083,6473
50,1.60620981686623,0.0493300405418911,4.98388554565352,4.52457981396612,5.48981698930421,1.16097886429795,3.19305731666944,2.97388310772564,3.42838459287447,6767
51,1.59934548859433,0.0507312635615385,4.94979166885213,4.48130383697515,5.46725650755598,1.15274833548502,3.16688462173137,2.94361441124077,3.40708965449426,6450
