rep,est_E,se_E,IRR_E,IRR_E_CI_Lower,IRR_E_CI_Upper,est_C,IRR_C,IRR_C_CI_Lower,IRR_C_CI_Upper,n_event
1,0.652803051433319,0.120228679058994,1.92091772081181,1.51764405797919,2.43135066534781,1.03693132734071,2.82054838085424,2.52865251556444,3.146139344877,2631
2,0.720244254796903,0.117165029841068,2.05493507709965,1.63330409629523,2.58540842496686,1.01760070990052,2.76654904091999,2.48044923955498,3.08564814540953,2614
3,0.842714143786722,0.108011326305958,2.32266246939028,1.87951888960097,2.87028822990946,1.07528109540027,2.93081662382787,2.63507455592474,3.25975068264865,2679
4,0.525469230992424,0.124352249157416,1.69125225019197,1.32543843791993,2.15802868843027,1.08179730197113,2.94997678836855,2.65022527932517,3.28363144061819,2668
5,0.629382108207183,0.121894894662865,1.87645077745022,1.47767883925287,2.38283680232832,1.07535306507327,2.93102756133235,2.63171971275302,3.26437596057787,2591
6,0.682961911646603,0.117877927464963,1.97973285056557,1.57133475287214,2.49427574388242,1.12564414777844,3.08220160292719,2.77702091166601,3.42092012385591,2685
7,0.476920757516105,0.134749005062369,1.61110577097263,1.23715892417269,2.09808275601867,1.154933213609,3.17381144303719,2.84861471670649,3.53613249867644,2485
8,0.700179771069032,0.119530505721746,2.01411475448928,1.5934544742363,2.54582625976538,1.08932705621836,2.97227322662496,2.66652671470499,3.3130769269975,2553
9,0.828878297746087,0.111704072891855,2.2907477616701,1.84032527879685,2.85141184988083,1.01661768840175,2.7638307999989,2.47367183416443,3.08802509109007,2585
10,0.643908914560647,0.121958821327821,1.90390856867193,1.49911362556926,2.41800739852921,1.13216950487312,3.10237983250134,2.78883183655356,3.45117998832276,2578
11,0.652424140013285,0.121069927077831,1.92019000102983,1.51456980770756,2.43444020955082,1.08044173566936,2.94598060839864,2.64332937829086,3.28328426125706,2574
12,0.81342166278868,0.113736486451223,2.25561274381012,1.80489468823782,2.81888405079523,1.09202204505867,2.98029427326193,2.6730012436106,3.32291426218724,2530
13,0.75308949019776,0.116524621876328,2.12355058115473,1.68996095988435,2.6683853519499,1.13601629140553,3.11433700906736,2.79822732465265,3.46615692034621,2544
14,0.490274998829112,0.130245829870889,1.6327651667317,1.26490606580996,2.10760479513181,1.15498561182895,3.1739777494643,2.85624172412271,3.52705958638313,2589
15,0.851498812203421,0.109854937667223,2.34315617242859,1.88926353828758,2.90609580776999,1.06604867086506,2.90388260498581,2.61065654994216,3.23004348608246,2641
16,0.80099899829522,0.112995131489052,2.22776535099812,1.7852038495654,2.78004019558663,1.03614107471186,2.81832031556466,2.52681876781963,3.14345037415501,2615
17,0.706859769640577,0.118734791261259,2.02761407569777,1.60663809341806,2.55889540825045,1.10317386397114,3.01371598537568,2.70691780803883,3.35528622758193,2543
18,0.76136406641485,0.115765570683324,2.14119496150059,1.70653963880547,2.68655691253951,1.07656798986183,2.93459070340912,2.63423539791418,3.26919249637074,2558
19,0.657468424138078,0.121094678536872,1.92990045552429,1.52215518501421,2.44686994131817,1.16220179527979,3.19696459406713,2.87990733551429,3.54892759557961,2600
20,0.756423944563099,0.115033608101061,2.13064328223238,1.70056783465202,2.66948527639939,1.05858415451905,2.88228722561782,2.58630312447544,3.21214461380842,2597
21,0.697390815698567,0.121194094797242,2.00850530421723,1.58384392249181,2.54702720374242,1.14121910858493,3.13058255982957,2.81130923733954,3.48611495090584,2554
22,0.556457628883048,0.128309829234568,1.7444819397008,1.35659106707748,2.24328267507931,1.0672412364124,2.90734774112436,2.60681562086252,3.24252732727762,2533
23,0.542104752026047,0.128279221666015,1.71962243471181,1.33733937296396,2.21118242515385,1.14271702477962,3.1352754240259,2.81815305430976,3.48808307961415,2563
24,0.772993568330232,0.116537796150656,2.16624134862686,1.72389055153424,2.72209948382416,1.07985868232403,2.94426344519713,2.64074766020026,3.28266398390624,2550
25,0.627086311658621,0.121040684072961,1.87214776953714,1.47676063707789,2.37339564922195,1.15032482942527,3.15921895031257,2.8418022178303,3.51208972721341,2611
26,0.781124706496137,0.113637249874717,2.18392716178647,1.74787329592869,2.72876635800682,1.0203277934768,2.77410394812199,2.48679977852165,3.09460085265124,2597
27,0.655758152085889,0.121043990310779,1.92660262161214,1.51970508123839,2.44244604260852,0.989494617911508,2.68987471427863,2.41031616969863,3.00185762742497,2628
28,0.793542050914205,0.112974548390492,2.21121480695897,1.77201267465857,2.75927536661481,1.08968004661604,2.97332259573096,2.67289784707911,3.30751407800534,2648
29,0.629644841763972,0.121881568054403,1.87694384880748,1.4781057332095,2.38340068130762,1.12288550338483,3.07371062193862,2.762478815094,3.42000703708449,2630
30,0.711138328046159,0.119563288027743,2.03630792625581,1.61090895762253,2.57404364840825,1.04946948421334,2.85613549109981,2.55448376742245,3.19340840899183,2457
31,0.717975085093163,0.119546566297183,2.05027736724519,1.62201324365493,2.59161711476886,1.05136171579498,2.86154507735841,2.56815432595493,3.18845333670101,2543
32,0.734274258962482,0.118764556095034,2.08396902171896,1.65119621887393,2.630170075393,0.988788696232756,2.68797654346349,2.40259337668947,3.00725789403679,2501
33,0.608735716846819,0.123608289984683,1.83810604263361,1.44263012064667,2.3419958973626,1.03848242667547,2.82492672631801,2.53243680587088,3.15119847830574,2587
34,0.629731430878442,0.12101052817048,1.87710637874982,1.480759532713,2.37954122820169,1.03952431574391,2.8278715204013,2.54019289800117,3.14812994800093,2636
35,0.588653648388776,0.125425136103842,1.80156124696586,1.40892203648435,2.30362138040505,1.08777673613502,2.96766882182139,2.65733432252905,3.31424546822881,2506
36,0.373959884974351,0.139446750702375,1.45347884294629,1.10588871184588,1.91031947813832,0.993780057910989,2.70142674606292,2.41919504111363,3.01658458302095,2522
37,0.628777910568718,0.121864203601545,1.87531737275649,1.476875135202,2.38125428801486,1.02626768320094,2.79063085506728,2.50261984207995,3.11178727120665,2595
