p_U,UonY,EonC,IRR_E,risk_win,scenario_id,scenario_name,missing_gamma1,bias_gamma_1,percent_bias_g1,coverage_irr_E,bias_gamma_2,percent_bias_g2,coverage_irr_C
0.001,0.25,0.2,5,10,33,Scen_33_pU0.001_UonY0.25_EonC0.2_IRRE5_10d,0,-0.00438890537688041,0.272698023513232,95.1,-0.129418814090247,18.671188128573,89.1
0.005,0.25,0.2,5,10,34,Scen_34_pU0.005_UonY0.25_EonC0.2_IRRE5_10d,0,0.0157078088067246,0.975981035700114,94.4,-0.343415359902335,49.5443636696198,34
0.001,2,0.2,5,10,35,Scen_35_pU0.001_UonY2_EonC0.2_IRRE5_10d,0,-0.0143973422014965,0.894557167459915,95,0.122699794406609,17.7018384908509,81.1
0.005,2,0.2,5,10,36,Scen_36_pU0.005_UonY2_EonC0.2_IRRE5_10d,0,-0.0170316685859448,1.0582370686289,95.3,0.187555463451972,27.0585337013792,41.6
0.001,5,0.2,5,10,37,Scen_37_pU0.001_UonY5_EonC0.2_IRRE5_10d,0,-0.0244716089209809,1.52050655274861,94.5,0.353841413362005,51.0485252318507,8.5
0.005,5,0.2,5,10,38,Scen_38_pU0.005_UonY5_EonC0.2_IRRE5_10d,0,-0.0373206362592327,2.31886150878534,93.3,0.384056938197038,55.4077040155866,0
0.001,15,0.2,5,10,39,Scen_39_pU0.001_UonY15_EonC0.2_IRRE5_10d,0,-0.0377839768016013,2.34765047534248,92.9,0.635500972266833,91.6834101169475,0
0.005,15,0.2,5,10,40,Scen_40_pU0.005_UonY15_EonC0.2_IRRE5_10d,0,-0.0498220961857183,3.0956208873176,86.3,0.515736186286024,74.4050038361833,0
0.001,0.25,2,5,10,41,Scen_41_pU0.001_UonY0.25_EonC2_IRRE5_10d,0,-0.00361933858289021,0.224882150154917,95.5,-0.131436914053928,18.9623384095351,86
0.005,0.25,2,5,10,42,Scen_42_pU0.005_UonY0.25_EonC2_IRRE5_10d,0,0.0214178433694885,1.33076543083891,94.2,-0.340285969043332,49.092888002291,23.7
0.001,2,2,5,10,43,Scen_43_pU0.001_UonY2_EonC2_IRRE5_10d,0,-0.0075476529233367,0.468962043520007,95,0.120628300613324,17.4029851085706,78.5
0.005,2,2,5,10,44,Scen_44_pU0.005_UonY2_EonC2_IRRE5_10d,0,-0.0186605654977119,1.15944612423662,94.1,0.19113400403882,27.5748079772057,31.5
0.001,5,2,5,10,45,Scen_45_pU0.001_UonY5_EonC2_IRRE5_10d,0,-0.0227243565950468,1.41194366178927,94.8,0.349552304460992,50.4297376177183,3.7
0.005,5,2,5,10,46,Scen_46_pU0.005_UonY5_EonC2_IRRE5_10d,0,-0.0323714482835282,2.01135117008459,93,0.390103908676156,56.2800974478491,0
0.001,15,2,5,10,47,Scen_47_pU0.001_UonY15_EonC2_IRRE5_10d,0,-0.0328649446917615,2.04201382593609,93.5,0.631460235076767,91.1004549663831,0
0.005,15,2,5,10,48,Scen_48_pU0.005_UonY15_EonC2_IRRE5_10d,0,-0.0491980230499391,3.05684504321962,85.6,0.519524554012179,74.9515497693421,0
