rep,est_E,se_E,IRR_E,IRR_E_CI_Lower,IRR_E_CI_Upper,est_C,IRR_C,IRR_C_CI_Lower,IRR_C_CI_Upper,n_event
1,0.580284135089638,0.0807948345395153,1.78654597904242,1.52490051101921,2.0930850977939,1.17433744277411,3.23599819941846,3.01040427228373,3.4784977031326,6239
2,0.705426459611526,0.0783286182243661,2.02470995785583,1.73655833996684,2.36067531915962,1.28129244105025,3.60129117560856,3.35245615002463,3.86859590435531,6084
3,0.731353099412141,0.0753339162570292,2.07789029849132,1.79266140977877,2.40850172208326,1.23191505479789,3.42778765590274,3.19217325140695,3.68079276673988,6289
4,0.584417329929106,0.0813184816505689,1.79394540275955,1.52964553886066,2.10391232891719,1.2141645514427,3.36747953286971,3.13100995253298,3.62180848231493,6190
5,0.728118705742302,0.0755237612400008,2.07118044027422,1.78620785120086,2.40161771391304,1.16614188385532,3.20958576567972,2.98244371519673,3.45402688901184,6192
6,0.662926937447831,0.078710567562913,1.9404636462781,1.66305630948644,2.26414411890219,1.16258213715564,3.19818076484354,2.97254792127827,3.44094039036275,6259
7,0.679739550278318,0.0776082638425768,1.97336370326671,1.69491085790708,2.29756289966725,1.2387907874518,3.4514374189717,3.21372621332124,3.7067315217145,6264
8,0.574934455555549,0.0820742961042663,1.77701404969819,1.51296574051289,2.08714503459563,1.18846014786968,3.28202348345626,3.05350857960529,3.52763971842213,6269
9,0.73950979806266,0.0751362092217756,2.09490833462797,1.80804388445888,2.42728673137665,1.20831698387862,3.34784543059784,3.11564251770695,3.59735398508547,6310
10,0.741042520670513,0.0763863618752469,2.09812170997127,1.8063857079493,2.43697383702745,1.21784814807273,3.37990684367673,3.14716056297576,3.62986572923091,6230
11,0.629930968324638,0.0808725773898009,1.87748096913403,1.60227361397669,2.19995808375819,1.25358078378357,3.50286352426605,3.26221269412799,3.76126697432077,6168
12,0.563437047063865,0.08261306413806,1.75669999653344,1.49409162981507,2.06546560882785,1.17049324183998,3.22358225210565,2.99760736552068,3.46659227476429,6150
13,0.766574189479119,0.0747654402974263,2.15237996307018,1.85899611556514,2.49206518864489,1.15862340514532,3.18554505147822,2.95915100374491,3.42925969717499,6189
14,0.670922702287214,0.0775853491142228,1.95604133203618,1.68010822720464,2.27729239740688,1.23916692272635,3.45273587051428,3.2192738087732,3.70312862455121,6407
15,0.573517862514694,0.0818158630498121,1.77449852611915,1.5115894567474,2.08313507688434,1.22169328859552,3.39292807864036,3.15746583159783,3.64594949266659,6206
16,0.685161320205741,0.0776187442352936,1.98409188383225,1.70409022675572,2.31010103906505,1.18612010428705,3.27435238431938,3.04495754067558,3.5210289120548,6164
17,0.490596123238923,0.0853551428429293,1.63328957167733,1.38168409988999,1.93071254504724,1.23595357782262,3.4416588459824,3.20465231335958,3.69619367528555,6253
18,0.561083484877132,0.0828817535276505,1.75257035543799,1.48979456257866,2.06169557059171,1.19985298495201,3.31962885146561,3.088625338431,3.56790950794988,6175
19,0.486142931892197,0.08535297631223,1.62603239148909,1.37555071694656,1.9221256661774,1.2068735909746,3.34301666000451,3.1105651179721,3.59283923184788,6231
20,0.715136378907896,0.0769930412385599,2.04446548521681,1.75809843626481,2.37747729821268,1.2408200407883,3.45844837096288,3.22005022904288,3.7144964468989,6236
21,0.715883716882697,0.0765596169767321,2.04599396298568,1.76090807014136,2.37723443236751,1.22486101551559,3.40369298940003,3.16806992654672,3.65684035854567,6257
22,0.632315484762777,0.0793952309184937,1.88196319521431,1.61075609280495,2.19883412762613,1.21489393607908,3.36993661667497,3.14012192414657,3.61657065385869,6291
23,0.662995303161945,0.0787186844346672,1.94059631199583,1.66314355061602,2.26433493653446,1.1990220327247,3.31687154423158,3.08676992670782,3.56412596408405,6262
24,0.680650640709101,0.078048093479603,1.97516243533257,1.69499397868363,2.30164041584308,1.20717755531135,3.34403297229981,3.11013271770519,3.59552390036891,6164
25,0.569746735069139,0.0812987366724442,1.76781926810751,1.50742687232063,2.07319175614872,1.1908702858559,3.28994315283979,3.06171180483131,3.53518771160558,6291
26,0.568101698635865,0.082892961493093,1.76491353168045,1.50025407866028,2.07626149371336,1.26219122573825,3.53315495145514,3.28845937275839,3.79605842614409,6143
27,0.650817131647256,0.0784665855845827,1.91710671772838,1.64382435337227,2.23582170419819,1.17845800224776,3.24935983225158,3.02293898604167,3.49273980328509,6307
28,0.570666576708724,0.0818091871309031,1.76944612999452,1.50730534413154,2.07717674401037,1.18736347815909,3.27842616061055,3.05147679234843,3.52225457441669,6286
29,0.604975044028254,0.0810811122387883,1.83120650877764,1.56214360562873,2.14661268381913,1.19229696499962,3.29464019590997,3.06344927783002,3.54327851910593,6169
30,0.686565750547854,0.0778333775694125,1.9868803603276,1.70576746185776,2.31432106340924,1.1784531776819,3.24934415553886,3.02151711249804,3.49434970845012,6208
31,0.666180827082077,0.0782651640696835,1.94678798459173,1.6699336986968,2.2695412757455,1.21027630305909,3.35441135863709,3.12221151572893,3.60387997618622,6274
32,0.538577183798123,0.0831171494326016,1.71356703594256,1.45596740727787,2.01674293805712,1.22544700940935,3.40568811721733,3.16947197888193,3.65950910089665,6235
33,0.766641662192565,0.0749762383421659,2.15252519488619,1.85835360166774,2.49326323605029,1.26794747781422,3.55355132900596,3.30893538334002,3.81625072265196,6243
34,0.857237794217498,0.0728122672811279,2.3566421644768,2.04322281535192,2.71813834969993,1.19842395451315,3.31488838873065,3.08177243544648,3.56563804106752,6112
35,0.628126617678096,0.0786643684324118,1.87409638953596,1.60632231343276,2.18650842853945,1.20493407306826,3.33653910303067,3.10770591801321,3.5822222178506,6443
36,0.553623868585013,0.0825885782077604,1.73954549369517,1.47957255188025,2.04519779769482,1.20820067438726,3.34745606704241,3.11377549468103,3.59867374507901,6242
37,0.59929334047339,0.081594280015532,1.82083163762808,1.55173163357528,2.1365987396599,1.17723351795555,3.24538347716624,3.0145056678081,3.49394397441024,6069
38,0.588016538666171,0.0823751600181078,1.80041382033669,1.53198486466783,2.11587594578631,1.2510038514297,3.49384850245865,3.25189792254494,3.75380090300599,6125
39,0.601142847312068,0.0818524694792719,1.8242023943519,1.55381773137199,2.14163753468106,1.17684521001362,3.2441235136302,3.0171086988422,3.48821949163682,6170
40,0.763322921988542,0.0751907158460294,2.14539336387475,1.85141799071064,2.4860472939399,1.3025344528938,3.67860812191354,3.42887019940036,3.94653542644302,6303
41,0.779593381994435,0.0750039946881393,2.18058541991232,1.88247660635012,2.52590271639733,1.23497302340051,3.43828576619599,3.19800870658713,3.69661564262658,6099
42,0.658803500807658,0.0789356662688571,1.93247874131871,1.65548238527549,2.25582230222721,1.12882248793246,3.09201347251427,2.87021906572137,3.33094690519971,6128
43,0.613239006523315,0.0813486534459333,1.84640223265285,1.5742808669242,2.16556097223379,1.2001053947991,3.3204668642333,3.08714976026702,3.57141734371762,6144
44,0.620864219916255,0.0798516972739316,1.86053525887744,1.59099207652042,2.17574399056519,1.17973539223651,3.25351318413142,3.02745310756431,3.4964531780422,6274
45,0.713167287191821,0.0763454833742536,2.04044370609153,1.75686837082651,2.36979080895507,1.21484050248883,3.36975655367337,3.13347514490896,3.62385489142106,6240
46,0.730240446337145,0.0759459917014451,2.07557961319514,1.78852102951267,2.40871125338969,1.19862513779326,3.31555535593895,3.08603252455623,3.56214888560717,6273
47,0.477434486993816,0.0856404535862105,1.61193365613519,1.36285570632509,1.90653353815988,1.23657972647573,3.44381451084616,3.20512702910267,3.70027717386132,6250
48,0.662932907863254,0.0787258987386292,1.94047523168676,1.66301626667116,2.26422567250473,1.21253176788708,3.36198565404263,3.12921326731842,3.61207325049931,6192
49,0.604331155555392,0.0805692416888346,1.83002779553586,1.56270507744941,2.14307983045653,1.17517742986647,3.23871753808169,3.01059028874815,3.48413111232068,6236
50,0.848544158153795,0.070185037403553,2.33624317434291,2.03599371671205,2.68077063542126,1.158538911308,3.18527590392369,2.96500413712967,3.42191177983949,6522
51,0.648545481771311,0.0791668900928975,1.91275666525962,1.63784479537161,2.23381242889072,1.15283005612065,3.16714343213053,2.94238645939656,3.4090686788114,6185
52,0.486110711215644,0.0847528750889306,1.62598000046938,1.37712518698195,1.91980437720441,1.18387836822978,3.26702037180415,3.03900627529818,3.51214217507205,6312
53,0.596439959487547,0.0800690968611081,1.81564351661781,1.55194256403237,2.12415166375161,1.18782570222558,3.27994187835581,3.05187027750017,3.52505766863862,6281
54,0.641868099919325,0.0791586113537696,1.9000270063111,1.62697111183479,2.21891009523843,1.14252030547707,3.13465871549242,2.91215643353555,3.37416120557888,6217
55,0.645011765492501,0.0803825991975584,1.90600945427994,1.62818315786229,2.23124285634688,1.19689904610853,3.30983733973859,3.07550578339212,3.56202328562849,6060
56,0.685180019653404,0.0767263922225147,1.98412898560148,1.70710517222894,2.30610737729988,1.1764863690277,3.24295959799294,3.01643317728989,3.48649757382105,6341
57,0.63062086912883,0.079375957802343,1.87877669167311,1.60808953567712,2.19502818646716,1.16339710816665,3.20078825182368,2.97733132304407,3.44101623951539,6275
58,0.406067927064924,0.0880927610407337,1.50090450103293,1.26289826282719,1.78376547622916,1.2226899270021,3.39631128671183,3.15976823745742,3.65056215816891,6203
59,0.553388213665979,0.0825820628338629,1.73913560954021,1.47924281406935,2.04468978291011,1.13614103620013,3.11472553063039,2.8948669082329,3.35128192027412,6270
60,0.593648266864607,0.0818472696673608,1.81058186657947,1.54223176604908,2.12562519314758,1.19015917184792,3.28760445981558,3.05645534659996,3.53623457847099,6084
61,0.705231820638424,0.0771950057725407,2.0243159087387,1.74008226272644,2.35497768476295,1.22908222122366,3.41809104487298,3.18215514314033,3.67152004396338,6243
62,0.657583414256849,0.0791816439765841,1.93012238776665,1.65266683008431,2.25415816663301,1.18300225912544,3.26415935897503,3.0362750704823,3.50914725229155,6198
63,0.691836529845593,0.0774115050385929,1.99738041562636,1.71620038372525,2.32462861712448,1.25551877672428,3.50965863135637,3.26878288954692,3.76828444251972,6260
64,0.644225249940615,0.0796521077861658,1.9045109375827,1.62923403531273,2.22629888202398,1.1941902534297,3.30088380868902,3.07137562434004,3.5475419652738,6139
65,0.724660582998201,0.0765706168225606,2.0640304140461,1.77639304952202,2.39824263625307,1.17981128932252,3.25376012567234,3.0246048986695,3.50027699818657,6232
66,0.766976105673117,0.0745753592967152,2.15324521330036,1.86043640643008,2.49213836741545,1.21162873609419,3.35895104449043,3.12669498007512,3.60845947276005,6299
67,0.79369411767388,0.0738338867438693,2.21155108479731,1.91359248730364,2.55590374289134,1.16715448529503,3.2128374428956,2.98703580433054,3.45570830436879,6246
68,0.70120508902004,0.0778753395735218,2.01618092156053,1.7307800938436,2.34864355265227,1.28889482523839,3.6287739094832,3.38091674434971,3.89480164164137,6171
69,0.590416039361563,0.0810703056806637,1.80473910173317,1.53959771767457,2.11554173400842,1.24727912086038,3.48085906423331,3.24191847568892,3.73741039940261,6248
70,0.529508001701043,0.0833869108687198,1.6980966424027,1.44206001837561,1.99959236799829,1.1819688323066,3.26078783156599,3.03249110395418,3.50627154969208,6203
71,0.635610324313203,0.0796248322491374,1.88817418847661,1.61534494294311,2.20708386874547,1.14874943023126,3.15424583767193,2.93312774597175,3.39203323760264,6169
72,0.370414017287455,0.0900883538254261,1.44833412591689,1.21390700597305,1.72803330895514,1.20462772331012,3.33551711163484,3.10481842053474,3.58335750922679,6237
73,0.582047808506425,0.0818364893878704,1.7896996428926,1.52447675039189,2.10106504474176,1.19416134700667,3.30078839332436,3.07055636374177,3.54828334895894,6229
74,0.634909719022948,0.0786774828108379,1.88685178694609,1.61721362906696,2.20144673648075,1.20730800139693,3.34446921676366,3.11319476979266,3.59292468637441,6336
75,0.577049268521172,0.0820920282909995,1.78077607864227,1.51611607309147,2.09163631897806,1.16209217619491,3.19661416494115,2.97006467743078,3.44044430990025,6151
76,0.670071895104904,0.0771352817200012,1.95437782578387,1.6801608300342,2.27334944228996,1.15065196405384,3.16025260929406,2.93747502105491,3.39992561058895,6345
77,0.706395861869545,0.0763431085473248,2.02667366791951,1.74502017754217,2.35378719919646,1.24588363774665,3.47600497187758,3.23899546285731,3.73035736019799,6351
78,0.90410178549974,0.0704554249144219,2.46971259482614,2.15116959123784,2.83542512216948,1.25913737142299,3.5223816693498,3.2798222485108,3.78287958446681,6213
79,0.55694486248496,0.0823248018727726,1.74533211702041,1.48526204175213,2.05094058359523,1.14430217996162,3.14024926322331,2.91918154792577,3.37805829246263,6279
80,0.602023093513467,0.0808214428680751,1.82580884851397,1.55833193432609,2.13919632774101,1.18756737286143,3.27909468248844,3.04996671014602,3.52543583539939,6242
81,0.625043242487446,0.0803652623896977,1.86832674678134,1.59604743951942,2.18705581444972,1.20062638410411,3.32219724267237,3.090811022955,3.57090564167455,6168
82,0.732117606494301,0.0767987715923204,2.07947946772864,1.78888904177134,2.41727393691403,1.23139971055476,3.42602162036484,3.18784720487365,3.68199081978038,6196
83,0.689972844741391,0.0776159146833835,1.99366139411727,1.7123187520514,2.32123005698082,1.16427752766958,3.2036075291166,2.97963331022181,3.444417527957,6207
84,0.638157357450351,0.0793944542563205,1.89298956055624,1.62019593025956,2.21171366342145,1.19003236322218,3.287187589644,3.0600233000161,3.53121567716582,6262
85,0.681085597704848,0.0778345330506602,1.97602173291676,1.69644132065744,2.30167813139928,1.19377052874254,3.29949863698081,3.06840635375697,3.54799527843126,6246
86,0.666499925335938,0.0782673879191839,1.94740930036336,1.67045937566401,2.27027549331109,1.18503536969288,3.27080250670019,3.03929627718885,3.5199427966698,6132
87,0.542518903756844,0.0845467418631731,1.72033476681607,1.45762782172635,2.03038914721793,1.22865679207266,3.41663719857795,3.17717619687555,3.6741461673376,6034
88,0.632810164315144,0.0796193584764349,1.88289439422886,1.61084532731584,2.20088871333538,1.18427497087512,3.26831633770076,3.04107664363351,3.51253616236351,6254
89,0.688036545358075,0.0778427749848287,1.98980480375102,1.70824667788815,2.31777014893739,1.25340677537709,3.50225404959448,3.26147202641147,3.76081208993128,6238
90,0.737306422159916,0.0759557570571607,2.09029754560111,1.80116895562032,2.42583785130874,1.22471062199962,3.40318113453488,3.16550904227839,3.65869807344419,6236
91,0.574915184167004,0.080793067487447,1.77697980449997,1.51674058685245,2.08187032968739,1.19879123239955,3.31610609753679,3.08728565468426,3.56188603196982,6341
92,0.522692258342198,0.0839420360697647,1.68656220402749,1.43070723344627,1.98817200441651,1.25031880298284,3.49145586659777,3.25148751582429,3.74913451430234,6261
93,0.609875000557915,0.0808461841587903,1.84020136026124,1.57053981475687,2.15616376897235,1.24572474632483,3.47545270838147,3.23601801395408,3.73260330322979,6201
94,0.654456411531398,0.0794196399496298,1.92409631648063,1.64673868526296,2.24816886141419,1.22129638301581,3.39158167376989,3.15225746532014,3.64907574219466,6149
