rep,est_E,se_E,IRR_E,IRR_E_CI_Lower,IRR_E_CI_Upper,est_C,IRR_C,IRR_C_CI_Lower,IRR_C_CI_Upper,n_event
1,0.860289993805719,0.147839280087503,2.36384609504516,1.76920506402706,3.15834974400388,1.03338484680895,2.81056307774008,2.30410317838348,3.42834682407659,1388
2,0.525055367330474,0.17446939171499,1.69055244716393,1.20093646886044,2.37978248701522,1.14757761044418,3.15055179478504,2.58422909250009,3.84098168402725,1376
3,0.615257977820206,0.16319382430981,1.85013383149099,1.3436690371745,2.5474987513484,1.08844843120132,2.96966285994525,2.4371428546148,3.61853942416192,1403
4,0.729258532602566,0.153959583926439,2.07354257332811,1.5334242292751,2.80390691715933,0.958548874728356,2.60790932314798,2.13290596809529,3.18869708252337,1423
5,0.454360182772367,0.179624261867104,1.57516524269696,1.10771916916083,2.2398687418944,1.00838025639842,2.74115744503387,2.2289507412722,3.37106782995838,1354
6,0.871534504190297,0.149473592690179,2.39057638990207,1.78348915646163,3.20431187106024,1.12630397077801,3.0842359815252,2.53466843157218,3.75296092824038,1347
7,0.780324894219083,0.14757878023587,2.18218112837284,1.63407321078227,2.91413777889848,1.1317067493755,3.10094452130283,2.5724078693595,3.73807631314403,1493
8,0.754984640203932,0.15066441036349,2.12757884392716,1.58357954934697,2.85845554079876,1.091027362505,2.97733130039653,2.45516898177676,3.61054645856018,1456
9,0.622481669009454,0.165322588575093,1.86354701496926,1.34777535710583,2.57669607823831,1.01636514840879,2.76313291031435,2.26124643806107,3.3764137121688,1373
10,0.56470052250235,0.172082788426278,1.75892094659432,1.25536259958783,2.46446954639563,1.19557374102803,3.3054537009676,2.73358396453886,3.99695941700608,1369
11,0.682592312018141,0.161324259076961,1.97900127724248,1.44253585377524,2.71497311146736,1.03345136552919,2.81075003901731,2.29053456831122,3.4491144081098,1394
12,0.935274000291052,0.145095076894571,2.54791149059403,1.91725193178525,3.38601977980861,1.04654788954668,2.84780319859926,2.33866751678506,3.46777940846458,1357
13,0.345196891212113,0.188417744705343,1.41226795544494,0.976192867001451,2.04314213450779,1.08006606318296,2.9448740923954,2.41249062376111,3.594742849836,1359
14,0.422946629072818,0.179547557093088,1.5264528255898,1.07362404506892,2.17027388633187,1.04056102170914,2.83080471184121,2.30681048178234,3.47382473760518,1397
15,0.265773778843738,0.191508909507663,1.30443993339639,0.896213344625139,1.8986143757443,0.892553636418591,2.44135603362619,1.98613458644876,3.00091409896849,1424
16,0.93448232944165,0.140928933945733,2.54589518157192,1.93144165297849,3.35582608232345,0.973624690601801,2.6475235419616,2.16506461926024,3.23749270247456,1407
17,0.525767673111449,0.169559587009425,1.69175706642279,1.21341292619267,2.35867107561784,0.981922516702403,2.66958363072338,2.18463481660922,3.26218217673906,1416
18,0.525558282695097,0.171954196332346,1.69140286579069,1.2074784394934,2.36927100379965,0.915105096196198,2.49703766727581,2.02312509017287,3.081963217243,1359
19,0.488991512673699,0.171835853709432,1.63067087952697,1.16439242590676,2.28366954144907,0.762953508399769,2.1446009727819,1.71864374452945,2.67612956268393,1405
20,0.546482276350222,0.169620897757387,1.72716662413726,1.2386615800143,2.40832895414359,1.0381141778693,2.82388664194019,2.3093373516716,3.45308395967184,1407
21,0.728752808335847,0.155733366207104,2.07249419764756,1.52732985715036,2.81224921988803,1.04203514801262,2.83498075277661,2.32690696978297,3.45399105893927,1406
22,0.794285581869009,0.147600027119789,2.21285952498928,1.65697697805489,2.95522951868893,0.998041938688426,2.71296447352917,2.22837696227629,3.30293139770793,1491
23,0.658654542992354,0.165450620625201,1.93219090494555,1.39707013824669,2.67227935874405,1.07334536469645,2.92514883952369,2.40170373314017,3.56267745071928,1347
24,0.55791072961392,0.169672136455652,1.74701869031309,1.252772948239,2.4362549563299,1.13600516175953,3.1143023477918,2.57375664578308,3.76837457781895,1385
25,0.487276581390728,0.174382450834513,1.6278767875461,1.1566099369453,2.29116381485552,1.03764011795874,2.8225482677511,2.33321485922945,3.41450710905201,1407
26,0.0562043942093659,0.215530215469959,1.05781387267214,0.6933453483931,1.61387134392832,0.96161023851187,2.61590531537623,2.12392154908215,3.2218518720575,1373
27,0.651125783133936,0.165401681999376,1.91769852689362,1.38672443339102,2.65198157002039,0.899624013756761,2.45867850805324,1.99455483139983,3.03080161587752,1351
28,0.784803873160948,0.149148291203174,2.19197699305353,1.63636708737512,2.93623794755201,1.07122813483301,2.91896217864829,2.39883191101063,3.55187045881407,1419
29,0.785934102585581,0.150741875035266,2.19445583051284,1.63310883093678,2.94875411904391,0.899833225229288,2.45919294561563,2.00204595043175,3.02072484523218,1403
30,0.731733709876366,0.157599708958166,2.07868131580763,1.52629610855876,2.83098147761632,1.08974905360898,2.97352778286192,2.42915048954275,3.63990107385898,1390
31,0.430920094418607,0.176830143212568,1.5386725965162,1.08799807849269,2.17602715121506,1.09725150820413,2.99592043493379,2.47637318532181,3.62446956930989,1445
32,0.629812779295636,0.165338512211533,1.87725908459374,1.357649981189,2.59573654440991,0.978760411923336,2.66115545996877,2.17647948630469,3.25376298131128,1389
33,0.721559533902803,0.159486484208827,2.05763966852694,1.50526922437823,2.81270681478558,1.12403609994089,3.07724925817549,2.52767951843713,3.74630681139379,1328
34,0.925347125980571,0.146534654892997,2.52274381830656,1.89296518365104,3.36204618435136,1.04865035753611,2.85379691225219,2.31035963072901,3.52506021489406,1344
35,0.670466699196509,0.161284501051307,1.95514957448078,1.42526090169611,2.68204218192145,1.03412141650733,2.81263401594007,2.30415372069477,3.43332566597936,1368
36,0.807139650502163,0.149220038120084,2.24148737117534,1.67309256632216,3.00298126730848,1.04770763098099,2.85110782985396,2.33393257412297,3.48288375918877,1414
37,0.893074648154658,0.147935356197984,2.44262834018618,1.82782489500758,3.26422581538147,0.950607523013737,2.58728101470967,2.0936545583563,3.1972910824088,1377
38,0.712749003878722,0.152178341452,2.03959040101203,1.51359094278136,2.74838391689645,0.907793687483385,2.4788473836508,2.02876121319015,3.02878639017852,1460
39,0.824892608060947,0.149309538937677,2.28163572288725,1.70276140515225,3.05730536069425,1.20967045510788,3.35237971088491,2.77416603198747,4.05110926900843,1387
40,0.763205204561568,0.154054707356344,2.1451408285523,1.58607676946258,2.90126509820913,0.92463418799037,2.52094589937745,2.05318102656387,3.09527905497148,1394
41,0.592342780809716,0.167443997751368,1.80821971941199,1.30233469868053,2.51061309890849,1.04827703329395,2.85273171952616,2.33541873647384,3.48463345630175,1374
42,0.394852331576557,0.188523970093975,1.48416501043107,1.02567623853838,2.14760340097851,1.01383128218201,2.75614036398261,2.24844764082581,3.37846857896331,1355
43,0.50982684995226,0.177069586075348,1.66500287465804,1.17677404970679,2.3557917285058,1.05646038077078,2.87617239522956,2.34953540365417,3.52085252012578,1307
44,0.781117732148756,0.152406022860652,2.18391193037291,1.61996965293861,2.94417325100709,1.10517031408809,3.01973872906036,2.49652788577945,3.65260169683227,1385
45,0.809147560860963,0.152486130092702,2.24599259841962,1.66575793777886,3.02834081576228,1.05715108423577,2.87815966369645,2.36610895509627,3.50102349762343,1389
46,0.831381317390009,0.149305049658966,2.29648873019802,1.71386113250012,3.0771807516477,1.02817198166462,2.79595011223646,2.29447564691373,3.407025496492,1398
47,1.03877096641149,0.136295523235712,2.8257419475361,2.16330392857101,3.69102900827233,1.04442161649696,2.84175442435891,2.32293371229421,3.47645228343072,1374
48,0.731479844206159,0.155757834648687,2.07815367695977,1.53142717996929,2.82006403017349,1.02672843010337,2.79191692584339,2.28105033070845,3.41719777765268,1382
49,0.546946636091121,0.174577455928635,1.7279688370266,1.22725640135557,2.4329686106644,1.14641677109908,3.14689663224158,2.58307658424882,3.83378428436849,1307
50,0.791218835234552,0.15078563519368,2.20608364075913,1.64162141460587,2.96463300656536,1.257713815092,3.51737092800673,2.91479110716746,4.24452312028964,1423
51,0.926607105513335,0.139666157629591,2.52592442721432,1.92103954018438,3.3212716753272,1.24420626446222,3.47017930127923,2.88738670263112,4.17060325589691,1477
52,0.844386496052636,0.149355043226374,2.32655002901244,1.73612564612556,3.11776687912963,1.28019348862958,3.59733570179045,2.99108283719115,4.3264679902776,1417
53,0.837853774054081,0.144779354066443,2.31140086098482,1.7403590706495,3.06981129943921,0.985195745170647,2.67833610447043,2.19638529347311,3.26604094000579,1459
54,0.589828009704678,0.167437596557055,1.80367817357759,1.29908003789093,2.50427599451215,0.988345718714292,2.68678609397522,2.18801533339833,3.29925453656061,1381
55,0.943290515358123,0.142315608782491,2.56841895080478,1.94324070852461,3.39472916449023,0.997386363418413,2.71118650397201,2.21209705452634,3.32287963779866,1384
56,0.454116036179852,0.174301602711932,1.57478071841236,1.11906237825299,2.21608228395174,1.07323100067001,2.92481432685295,2.4026449770814,3.56046728841139,1426
57,1.02868640000567,0.136227487450726,2.79738877025917,2.14188317609037,3.65350641870951,0.900335464073258,2.46042835804782,1.99541912262738,3.03380259136484,1376
58,0.943778870044875,0.139660130421085,2.56967355655832,1.95433512160664,3.37875634238546,0.963458267083225,2.62074405282442,2.12884313757919,3.22630600121381,1403
59,0.704946867826008,0.147347750553481,2.02373915640479,1.51611415351572,2.70132704959507,0.946040151903012,2.5754908875868,2.11351580329213,3.13844509783672,1528
60,0.657975069363518,0.161273642295602,1.93087847810997,1.40759776521613,2.64869111713588,1.2839079247159,3.61072262237459,2.9976662631032,4.34915588042524,1401
61,0.402277310924021,0.182367972248368,1.49522591766976,1.0458632839124,2.13766041820304,1.28817169537017,3.62615078322899,3.01258072277084,4.36468619855548,1429
