rep,est_E,se_E,IRR_E,IRR_E_CI_Lower,IRR_E_CI_Upper,est_C,IRR_C,IRR_C_CI_Lower,IRR_C_CI_Upper,n_event
1,1.41383519536984,0.134431958481028,4.11169435495607,3.15930920717188,5.35117943827706,0.590041176225868,1.80406269836165,1.37331004733145,2.36992529541613,1004
2,1.27201069025762,0.139697796353654,3.56801953677969,2.71341513977168,4.69178609208792,0.581828613822054,1.78930739323535,1.39182354068094,2.300306650885,1047
3,1.77842131255774,0.113560647255403,5.92050241419606,4.73909663341597,7.39641993989802,0.741953815618634,2.1000345891523,1.64362080691308,2.68318900386691,1023
4,1.75800171493844,0.116133937056005,5.80083408480736,4.6199476826409,7.28356215069251,0.67116899285132,1.95652314588993,1.51695186220909,2.52347020084636,1007
5,1.821177929328,0.11128657503267,6.17913274642247,4.9682131599413,7.68519390548083,0.624025802274224,1.86642680272137,1.44454063575396,2.41152718289474,1039
6,1.56758693814443,0.125274010047024,4.7950634373539,3.75111973065599,6.12953864957739,0.624584324171338,1.8674695341271,1.43515033573001,2.43001891444283,993
7,1.51534688291328,0.125906281667242,4.55099951704232,3.55578233595948,5.82476502981183,0.460556075906901,1.5849550953317,1.20248894982778,2.08906922144913,1013
8,1.66769826503398,0.115578890684668,5.29995465591628,4.22562763280241,6.64741945947089,0.553926743560853,1.74007243828969,1.3457221479893,2.2499831001663,1059
9,1.27733462915539,0.138450163214693,3.58706611119025,2.73457845884229,4.70531143271599,0.387192086732202,1.47283937700595,1.12124794636686,1.93467986941536,1054
10,1.57783219578645,0.125314495902982,4.84444261696376,3.78944775378798,6.19315156030192,0.297479934634137,1.34646135784195,1.00216898546164,1.80903441880759,994
11,1.59658499380631,0.124573608836482,4.93614663693318,3.86679193948713,6.30122954702819,0.596892810613961,1.81646591902836,1.38412327134292,2.38385446101937,986
12,1.43369989131325,0.131294030223425,4.1941885615865,3.24257679459898,5.42507357711434,0.534748621012471,1.70701907958731,1.30506584484059,2.2327717406711,1026
13,1.61826568895593,0.11744443994551,5.04433428126026,4.00714419378514,6.34998570317529,0.436427409893115,1.54716992918568,1.17931773449496,2.02976239545954,1054
14,1.65056277809488,0.119901300937439,5.20991102609696,4.1187945951393,6.59007684721133,0.600464639202939,1.82296562493629,1.4083958454172,2.35956651002114,1025
15,1.64205079323365,0.121431939172277,5.16575254708771,4.07165099013497,6.55385234205905,0.437505070179472,1.54883815150163,1.17318453838428,2.04477602718048,990
16,1.40067237170353,0.133266565003865,4.05792748540494,3.12512631744111,5.26915516499442,0.548191903511079,1.73012196065116,1.32362073171399,2.26146503073528,1031
17,1.60998266846562,0.118918861959311,5.00272452219019,3.96262221623994,6.3158311035441,0.760960224403109,2.1403304315983,1.6800730895648,2.7266756338633,1063
