rep,est,se,IRR,IRR_CI_Lower,IRR_CI_Upper,n_event
1,0.697345660009674,0.11213671629692,2.00841461082425,1.61213878408349,2.502098013395,836
2,0.662729405195306,0.111309853515435,1.94008037997808,1.55981324785313,2.41305289973424,872
3,0.637319694172959,0.117908966979647,1.89140453666771,1.50113631618312,2.38313541732393,793
4,0.595547168569374,0.11622158961232,1.81402324996284,1.44449104091966,2.27808983108034,844
5,0.81126130915715,0.108662262312227,2.25074508245581,1.81900052571028,2.78496534475762,815
6,0.662546740111229,0.115215558491294,1.93972602739726,1.54763567439475,2.4311516745269,814
7,0.34485536713366,0.12718244035371,1.41178571428609,1.10029944399736,1.81145134075617,867
8,0.504623058816141,0.117906780726491,1.65636105207845,1.31459681632111,2.08697594637433,883
9,0.680472299528475,0.107317323015041,1.97481021394065,1.60020894525159,2.43710384987954,925
10,0.692950116809184,0.114049188167088,1.99960591133005,1.59906297255244,2.50047926145382,811
11,0.777081632045099,0.10625592962581,2.17511520737328,1.76618850345681,2.67872096103371,875
12,0.38627113471737,0.126449908661158,1.47148358701876,1.14847372807139,1.88534042524568,847
13,0.776395525671701,0.109590327971146,2.17362335880855,1.75348007894374,2.69443523350672,823
14,0.857450231851269,0.107300696547323,2.35714285714297,1.91007924571778,2.9088439453161,807
15,0.674715366516565,0.116685802464028,1.96347402597403,1.5620755163443,2.46801784570378,786
16,0.67575199989201,0.114614344629439,1.965510484029,1.5700571379656,2.46056743376467,814
17,0.8128388160959,0.112236336416292,2.25429845043518,1.80915455408499,2.80897035146048,763
18,0.617267033871677,0.113607567207331,1.85385459041629,1.48379099187874,2.31621357807003,868
19,0.735180562266498,0.107082715203152,2.08585858585859,1.6909699464371,2.57296473504286,890
20,0.682681968768849,0.113330404300347,1.97917871602082,1.58495887082587,2.47145112851334,828
21,0.732910413731959,0.105993244601883,2.08112874779542,1.69074197611655,2.56165454343813,910
22,0.619452690748946,0.116358102172459,1.85791091169976,1.47904262162686,2.33382926586402,826
23,0.813879476265637,0.106483276084445,2.25664563013963,1.83157470281789,2.78036680250799,847
24,0.781883946380867,0.105757681264797,2.18558591600955,1.77642461321854,2.68898874779981,880
25,0.868240056434877,0.103280193432888,2.38271371956989,1.94607514278907,2.91732037710013,864
26,0.685369468962957,0.11206563424588,1.98450491307634,1.59316859771779,2.4719667181902,845
27,0.726489845929036,0.11046673051523,2.06780952380953,1.66525627853412,2.56767458671363,842
28,0.778040251706303,0.105734395905621,2.17720131530874,1.7696904491481,2.67855068645704,883
29,0.650022760018523,0.111237301808957,1.91558442725479,1.54033766401052,2.38224629811819,882
30,0.746663605916221,0.10940683614432,2.10994863990869,1.70272540611906,2.61456324493302,845
31,0.734159633132391,0.112360330833746,2.08373015873016,1.6718610905678,2.59706467175871,809
32,0.745332933730517,0.109398743623422,2.10714285714286,1.7004881149232,2.61104501786459,846
33,0.662729405195306,0.111309853515435,1.94008037997808,1.55981324785313,2.41305289973424,872
34,0.761593454602298,0.110085459487719,2.14168618266979,1.72604026135889,2.65742335664151,825
35,0.72343894909578,0.108122856126654,2.06151046405824,1.6678277732894,2.5481200526118,881
36,0.669772528496479,0.113910560843247,1.95379283788987,1.56285133505079,2.44252691716561,828
37,0.793676768948112,0.107437282720334,2.21151271753683,1.79159012628384,2.72985903866959,845
38,0.910824436691536,0.102603566699897,2.48637154455889,2.03343227522574,3.04020130540411,848
39,0.950932175394555,0.101035900423029,2.58812111801434,2.12315979721502,3.15490663034319,849
40,0.83186595625039,0.109366521472655,2.29760196761636,1.85430787466949,2.84687072395435,792
41,0.7255824563131,0.109279818983829,2.06593406593407,1.66762081151644,2.55938492450554,861
42,0.722165874448984,0.108115361062663,2.05888767720829,1.66573032449393,2.54484078546629,882
43,0.49457421546897,0.120955984529587,1.63979988896755,1.29369807515006,2.07849399137901,846
44,0.757503469350773,0.110060130790991,2.132944606414,1.71908053783757,2.64644534906626,828
45,0.576053373249265,0.116112545523479,1.77900349496558,1.41690790530663,2.23363383269066,859
46,0.557883853117385,0.11972012362403,1.74697173720229,1.38159236632087,2.20898024987697,820
47,0.728803631779306,0.111701527875363,2.07259953161593,1.66507915047526,2.57985863148215,822
48,0.544385115197096,0.115939659909704,1.72354827284717,1.37320518355533,2.16327369311505,884
49,0.803829140412133,0.106956524750414,2.23407917383823,1.81157784660411,2.75511745980653,846
50,0.806440919771307,0.108070076173815,2.23992172211352,1.81235564903635,2.76835803384603,827
51,0.65108040172994,0.113800958849798,1.91761150101672,1.53423919690992,2.39678003028332,842
52,0.505053100292652,0.116444283861541,1.657073509213,1.31893751251418,2.08189742795413,905
53,0.756262004262707,0.110648956574465,2.13029827315542,1.7149673361328,2.64621409224178,820
54,0.833643856062253,0.104039413881684,2.3016905071522,1.87710435335886,2.82231468976926,874
