rep,est,se,IRR,IRR_CI_Lower,IRR_CI_Upper,n_event
1,1.12293187700187,0.0939280369527708,3.07385316432297,2.55700411965464,3.69517327062206,880
2,1.192568104931,0.0930832749141776,3.29553362554336,2.74595312944883,3.95510825025148,851
3,1.01014356798343,0.0992336240669258,2.74599522371515,2.26064289299149,3.33555104702457,856
4,1.11393197777632,0.0921518342477017,3.04631291125338,2.54293188691542,3.64933972514919,917
5,1.05184118551047,0.0955845588888543,2.86291743053712,2.37381625101898,3.45279303339293,890
6,1.05576341875489,0.0963529966304088,2.87416851071574,2.37955861727204,3.47158694390992,874
7,1.13599392484984,0.0946989545800547,3.11426735285419,2.58671151719724,3.74941738983023,855
8,0.992001844806021,0.0978877627319594,2.69662730210271,2.22586444622754,3.2669549211634,888
9,1.1994737297015,0.0911328290418806,3.31837010350243,2.77557148620481,3.967319955025,884
10,0.913445821117729,0.0994986200115764,2.49289783041838,2.05121460795873,3.02968766349079,905
11,1.14385517284538,0.0907775210240244,3.13884586314416,2.62724166970992,3.75007501828527,923
12,1.0557636780397,0.0952334608629958,2.8741692559441,2.38478631425254,3.46397866443788,893
13,1.07808829834368,0.0942940681727765,2.93905557968091,2.44311855798674,3.53566455963223,896
14,1.15179041213384,0.091415226914618,3.16385244153169,2.64486456474117,3.78467858249884,910
15,1.01312467768445,0.0976577639468065,2.75419355070001,2.27440613220766,3.33519242992656,875
16,1.02512534612279,0.0977127894192396,2.78744483407154,2.30161672067133,3.37582214849647,866
17,1.17164510387862,0.0912307962013904,3.22729751345378,2.69887772459407,3.8591778891767,906
18,1.24452722090056,0.0905235197075362,3.47129325642414,2.90694988649397,4.14519594165721,870
19,1.2404552466251,0.0887613130227754,3.45718697927158,2.9051536192302,4.11411697148462,905
20,0.969167493438504,0.100708473587974,2.63574926716561,2.1636194968347,3.21090386249872,850
21,1.03456951332225,0.0958658261638531,2.81389463070178,2.3318826525259,3.39554093089355,893
22,1.13334203041517,0.0940330675276566,3.10601958553077,2.58323013124879,3.73461022655267,866
23,1.10266336757839,0.0948491280474636,3.01217788686665,2.50117968015697,3.62757449779018,870
24,1.03758915838066,0.0966314265149298,2.82240443554712,2.33542769795498,3.41092417666,878
25,1.06481526295557,0.0949383341764063,2.90030314113588,2.40786279551759,3.49345416447388,893
26,0.968570882264881,0.0998044963468581,2.63417721869943,2.16616357242648,3.20330823943377,870
27,1.0685255673579,0.0945911825466828,2.91108413666821,2.41845826437925,3.50405503190953,895
28,0.99856654909075,0.0955781608323167,2.71438809630412,2.2506899106036,3.27361965886342,924
29,1.19483068571034,0.0921073093467591,3.30299847831384,2.75744265709402,3.95649168611942,868
30,1.27761524174756,0.0878929320058699,3.58807282835214,3.02027612860653,4.26261244778926,905
31,0.982857804726036,0.097417410302628,2.6720816283128,2.20763805158674,3.23423498849139,902
32,0.879248829748069,0.104804884819328,2.40908939029029,1.961746268898,2.95844155914692,841
33,1.10989056322387,0.0928136612412838,3.03402634220507,2.52939243572405,3.63933872624206,903
34,1.03429211172697,0.0962331286639746,2.81311416009916,2.32955822227342,3.39704378370397,892
35,0.994690494267295,0.09670008342595,2.70388734312499,2.23705845568195,3.26813398449295,912
36,0.989185918209192,0.0966688407013743,2.68904447890837,2.2249144646098,3.24999469623013,909
37,1.18409336107169,0.0926456649332964,3.26772283330786,2.72511654083241,3.91836912488881,865
38,1.18915876369848,0.0933741165830836,3.28431715811772,2.73504765022357,3.94389443058688,845
39,0.980421738786845,0.0954788621762333,2.6655801834607,2.21065003913726,3.21413049947577,940
40,1.27178681282037,0.0881088581482169,3.56722082711961,3.00145335831649,4.23963424058449,904
41,0.991769178154669,0.0978897993665527,2.69599995984202,2.22533773907687,3.26620793591687,887
42,1.07326740162032,0.095733613370395,2.92492079481167,2.42451854686846,3.52860227321077,873
43,0.951517495386726,0.101020657141704,2.58963644047787,2.12446635906738,3.15665949014833,855
44,1.10708221286082,0.095595496427718,3.02551768646083,2.50858408090093,3.64897367434455,856
45,1.06668726282548,0.100075182466867,2.90573759329863,2.38820851472911,3.53541615358767,807
46,1.01979051147408,0.0985336358727698,2.77261387232831,2.28569042461187,3.36326722212732,852
47,1.2324785182457,0.0901284527953581,3.42971963320189,2.87435987356212,4.09238135786838,886
48,0.993065572262951,0.0995513986913653,2.69949730478477,2.22097972526094,3.2811131122253,856
49,1.06861319999502,0.0980641674815936,2.91133925382613,2.40226240857085,3.52829741689683,832
50,0.807098513963826,0.103365125327969,2.24139516604067,1.83034887555569,2.7447512096978,908
51,1.25915591264261,0.0888637453087488,3.52244697920738,2.95939889679454,4.19261922911659,894
52,1.16523455394507,0.0906046542379269,3.20667493325737,2.68492473203706,3.82981467036494,912
53,1.00016840698394,0.0971183053519141,2.71873964465192,2.24750345866016,3.28878036957883,900
54,1.22404080258483,0.09296157270909,3.4009023810008,2.83442605834537,4.08059224937016,836
55,1.34712968748467,0.08703918067481,3.84636938880118,3.24312064441569,4.5618276645309,880
56,1.14900458696913,0.0930626488662395,3.15505076743758,2.62900420939427,3.78635580328794,879
57,1.17387413058592,0.0929519514167684,3.23449926927485,2.69579096152157,3.88085933674714,861
58,1.17349247750331,0.095379884394753,3.23326504819514,2.68196930302421,3.89788311897988,824
59,1.190845900869,0.088932593633203,3.28986292859723,2.76361946317388,3.91631273161191,933
60,1.17826219002781,0.0950161477248812,3.24872363017949,2.69671391304463,3.91372817644226,828
61,1.15962891970421,0.0911743153320347,3.18874977433321,2.66693679321824,3.81266070840774,906
62,1.06920882791927,0.0946404578883299,2.91307384531696,2.41987754821633,3.5067886945456,897
63,1.21499986837501,0.0897081266214112,3.3702936207067,2.82688435648131,4.01816192577294,903
64,1.00921753405666,0.0988213355024968,2.74345351601065,2.26037623607422,3.32977186469768,858
65,1.1134548281632,0.0942326016047431,3.04485971095087,2.53137421395481,3.66250497783467,874
66,0.879310429514723,0.103814080829365,2.40923779420536,1.96568064585126,2.95288390882734,857
67,0.878691785617007,0.100996097025266,2.40774779488284,1.97534501229924,2.93480349390478,901
68,1.14057268212215,0.0920022831799864,3.12855952236189,2.61235345148954,3.74676890655063,905
69,0.93312727763648,0.0991707737016154,2.54244769799729,2.0933300699346,3.08792215326735,904
70,1.09924061938663,0.0944498712645535,3.00188558447885,2.49458472724289,3.61235157254473,881
71,1.16156283418795,0.0899365625112839,3.19492251055497,2.67858966277116,3.81078520175076,930
72,1.18900169646026,0.0926646180047545,3.28380134000239,2.73842347995267,3.93779534814237,867
73,1.16891379909387,0.0922032787754429,3.21849480722265,2.686391097544,3.85599432397967,882
74,1.04916561431565,0.0948340960980529,2.85526772935037,2.3709582574277,3.43850583650279,906
75,1.05039012088666,0.0959651008355454,2.85876616493851,2.36860690725265,3.45035892649513,879
76,0.942470059288532,0.0988089353898274,2.56631254011422,2.11447827709888,3.11469742909046,899
77,1.05071147231595,0.0937663584217736,2.85968498115515,2.37960090547648,3.43662593698956,926
78,1.22314614650376,0.0900961672628804,3.397861103656,2.84784026008502,4.05411084377103,888
79,1.2437646876802,0.0899243360286103,3.46864728894576,2.90814734644891,4.13717483393758,882
80,0.795626526227856,0.107980929799465,2.21582883688232,1.79317500207791,2.73810276669579,845
81,1.17196633730745,0.0922057613547748,3.2283343958316,2.69459082637221,3.86780169712851,882
82,1.13042183138575,0.0936406200894072,3.09696262065793,2.57767953328106,3.72085720894251,875
83,0.988473616070694,0.0978905857914289,2.68712974878966,2.21801265276301,3.25546667997384,885
84,1.13058466555624,0.0965155521191063,3.09746695305744,2.56361317387911,3.74249189504883,827
85,1.14341696054452,0.0966191422395736,3.13747068360873,2.59619502584406,3.79159585181931,818
86,0.997101994090609,0.0979337669697933,2.71041563529922,2.23704396967709,3.28395553044713,876
87,1.10608098681132,0.0938146588872053,3.02248997530452,2.5148361043468,3.63262068451539,887
88,1.08825755243388,0.0926506050586942,2.96909606845476,2.47605285957563,3.56031634366014,923
89,1.07386862559126,0.0980665536765951,2.92667985604851,2.41490925854501,3.54690552015227,836
90,1.21936450003241,0.0903630161503799,3.3850358597567,2.83560762166219,4.04092148867975,886
91,1.0180289231455,0.0984931423973038,2.76773396754473,2.28184861687381,3.35708129735431,854
92,1.13633072021301,0.0923065488485712,3.11531640030555,2.59974459869851,3.73313450824029,897
93,1.03620967365692,0.0936698224599585,2.81851365599656,2.34578522172208,3.3865074924495,934
94,1.05813526901742,0.0927826299181108,2.88099369901509,2.40195900380465,3.45556467892142,935
95,1.09554208248461,0.0923393399926715,2.99080350623948,2.49567766549904,3.58415901884738,927
96,1.20649042983125,0.0924887405096844,3.34173599128571,2.78769706278455,4.00588700419971,855
97,0.881464618097969,0.104309408334485,2.41443334084041,1.96800813943583,2.96212614193402,848
98,1.13753945019967,0.0916556815663897,3.11908425335625,2.60621145068386,3.73288459652119,912
99,0.916620495491844,0.0994690578503882,2.50082454498922,2.05785612431642,3.0391451233735,909
100,1.04178912037134,0.0944364176505838,2.83428335494203,2.35536838726263,3.41057567875293,918
101,1.00379821311683,0.0963780161926621,2.72862607454486,2.25895151106718,3.29595399379277,906
102,1.19392310479119,0.0923929558010385,3.30000209985257,2.75339924928353,3.95511615755147,861
103,1.16000172819151,0.0928158207084715,3.18993878893655,2.65936151601305,3.82637314103031,873
104,1.11283761652885,0.0928121526507675,3.04298096796297,2.53686518585088,3.65006907857387,903
105,0.976036227660455,0.100317831755398,2.65391584763983,2.18020059890234,3.2305602199632,849
